source,target,relation,weight,region,age_min,age_max,sex_condition,ethnicity_condition,evidence,notes
hispanic_latino,receded_chin,baseline_morphology,1.0,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,deep_nasolabial_folds,more_prone_to,1.0,entire face,,,,Hispanic/Latino,Benton,
hispanic_latino,hyperpigmentation,more_prone_to,1.0,entire face,,,,Hispanic/Latino,Benton,
hispanic_latino,inconsistent_facial_pigmentation,more_prone_to,1.0,entire face,,,,Hispanic/Latino,Vashi et al.,
men,crow_feet,more_prone_to,1.0,eye corners,,,male,,Flament et al.,
men,forehead_wrinkles,more_prone_to,1.0,forehead,20,60,male,,Flament et al.,
protein_deficiency,lanugo_like_hair,associated_with,1.0,forehead and ears,,,,,Wong et al.,
smoking,darkened_lips,increases_risk,1.0,lips,,,,,Chauhan et al. (PMC),
smoking,dry_skin,increases_risk,1.0,entire face,,,,,Swift et al.,
smoking,facial_wrinkles,increases_risk,1.0,entire face,20,,,,Koh et al.,Can become visible from around age 20
smoking,jowls,increases_risk,1.0,lower cheek and jaw,,,,,Flament et al.,
smoking,nodular_elastosis,increases_risk,1.0,entire face,,,,,Chauhan et al.,
smoking,tooth_decay,increases_risk,1.0,mouth,,,,,Cleveland Clinic,
smoking,uneven_skin_tone,increases_risk,1.0,entire face,,,,,Swift et al.,
stress,acne,increases_risk,1.0,entire face,,,,,Bobok et al.,
stress,dry_skin,increases_risk,1.0,entire face,,,,,Bobok et al.,
stress,dull_skin_tone,increases_risk,1.0,entire face,35,,,,Bobok et al.,Specific to age 35+
stress,enlarged_pores,increases_risk,1.0,entire face,,,,,Bobok et al.,
stress,hyperpigmentation,increases_risk,1.0,entire face,,,,,Bobok et al.,
stress,nasolabial_folds,increases_risk,1.0,nasolabial region,35,,,,Bobok et al.,Pronounced nasolabial folds; specific to age 35+
stress,under_eye_circles,increases_risk,1.0,under-eye,,,,,Bobok et al.,
stress,uneven_skin_tone,increases_risk,1.0,entire face,35,,,,Bobok et al.,Dull and uneven skin tone; specific to age 35+
uv_exposure,dry_skin,increases_risk,1.0,entire face,,,,,Swift et al.,
uv_exposure,jowls,increases_risk,1.0,lower cheek and jaw,,,,,Flament et al.,
uv_exposure,spider_veins,increases_risk,1.0,cheek,,,,,Swift et al.,
uv_exposure,sunspots,increases_risk,1.0,"cheekbones, nose, forehead",,,,,Hussein et al.,"Exposure may be asymmetric, e.g. driving"
uv_exposure,uneven_skin_tone,increases_risk,1.0,entire face,,,,,Swift et al.,
vitamin_a_deficiency,dry_skin,associated_with,1.0,entire face,,,,,Wong et al.,
vitamin_a_deficiency,ocular_xerosis,associated_with,1.0,eyes,,,,,Wong et al.,
vitamin_a_excess,yellow_orange_pigmentation,associated_with,1.0,nasolabial folds and forehead,,,,,Wong et al.,
vitamin_b12_deficiency,hyperpigmentation,associated_with,1.0,entire face,,,,,Wong et al.,
vitamin_b2_deficiency,alopecia,associated_with,1.0,hair,,,,,Wong et al.,
vitamin_b2_deficiency,cheilitis,associated_with,1.0,lips,,,,,Wong et al.,
vitamin_b2_deficiency,desquamation,associated_with,1.0,entire face,,,,,Wong et al.,
vitamin_b6_deficiency,seborrheic_eruption,associated_with,1.0,nasolabial folds and eyebrows,,,,,Wong et al.,
women,lower_face_sagging,more_prone_to,1.0,lower face,,,female,,Flament et al.,
women,marionette_lines,more_prone_to,1.0,mouth and chin,18,40,female,,Flament et al.,
