source,target,relation,region,age_min,age_max,sex_condition,ethnicity_condition,evidence,notes
smoking,nodular_elastosis,increases_risk,entire face,,,,,Chauhan et al.,
smoking,tooth_decay,increases_risk,mouth,,,,,Cleveland Clinic,
smoking,uneven_skin_tone,increases_risk,entire face,,,,,Swift et al.,
stress,acne,increases_risk,entire face,,,,,Bobok et al.,
stress,dry_skin,increases_risk,entire face,,,,,Bobok et al.,
stress,dull_skin_tone,increases_risk,entire face,35,,,,Bobok et al.,Specific to age 35+
stress,enlarged_pores,increases_risk,entire face,,,,,Bobok et al.,
stress,hyperpigmentation,increases_risk,entire face,,,,,Bobok et al.,
stress,nasolabial_folds,increases_risk,nasolabial region,35,,,,Bobok et al.,Pronounced nasolabial folds; specific to age 35+
stress,under_eye_circles,increases_risk,under-eye,,,,,Bobok et al.,
stress,uneven_skin_tone,increases_risk,entire face,35,,,,Bobok et al.,Dull and uneven skin tone; specific to age 35+
uv_exposure,dry_skin,increases_risk,entire face,,,,,Swift et al.,
uv_exposure,jowls,increases_risk,lower cheek and jaw,,,,,Flament et al.,
uv_exposure,spider_veins,increases_risk,cheek,,,,,Swift et al.,
uv_exposure,sunspots,increases_risk,"cheekbones, nose, forehead",,,,,Hussein et al.,"Exposure may be asymmetric, e.g. driving"
uv_exposure,uneven_skin_tone,increases_risk,entire face,,,,,Swift et al.,
vitamin_a_deficiency,dry_skin,associated_with,entire face,,,,,Wong et al.,
vitamin_a_deficiency,ocular_xerosis,associated_with,eyes,,,,,Wong et al.,
vitamin_a_excess,yellow_orange_pigmentation,associated_with,nasolabial folds and forehead,,,,,Wong et al.,
vitamin_b12_deficiency,hyperpigmentation,associated_with,entire face,,,,,Wong et al.,
vitamin_b2_deficiency,alopecia,associated_with,hair,,,,,Wong et al.,
vitamin_b2_deficiency,cheilitis,associated_with,lips,,,,,Wong et al.,
vitamin_b2_deficiency,desquamation,associated_with,entire face,,,,,Wong et al.,
vitamin_b6_deficiency,seborrheic_eruption,associated_with,nasolabial folds and eyebrows,,,,,Wong et al.,
women,lower_face_sagging,more_prone_to,lower face,,,female,,Flament et al.,
women,marionette_lines,more_prone_to,mouth and chin,18,40,female,,Flament et al.,
