source,target,relation,weight,region,reference,notes,context
lack_of_vitamin_b2,desquamation,associated_with,,Entire face,Wong et al.,,"{""parent_factor"": ""Diet""}"
lack_of_vitamin_b6,seborrheic_eruption,associated_with,,"Nasolabial folds, eyebrows",Wong et al.,,"{""parent_factor"": ""Diet""}"
men,crows_feet,more_prone_to,,,Flament et al.,,
men,forehead_wrinkles_20_60,more_prone_to,,,Flament et al.,,
smoking,blue_blackish_lips,increases_risk,,Mouth,Chauhan et al. (pmc),,
smoking,coarse_dry_skin,increases_risk,,Entire face,Swift et al.,,
smoking,jowls,increases_risk,,"Lower cheek, jaw",Flament et al,,
smoking,more_wrinkling,increases_risk,,Entire face,Koh et al.,* can start seeing around age 20,
smoking,nodular_elastosis,increases_risk,,Entire face,Chauhan et al.,,
smoking,tooth_decay,increases_risk,,Mouth,Cleveland Clinic,,
smoking,uneven_complexion,increases_risk,,Entire face,Swift et al.,,
stress,acne,increases_risk,,Entire face,Bobok. et al,,
stress,coarse_dry_skin,increases_risk,,Entire face,Bobok. et al,,
stress,dull_and_uneven_skin_tone,increases_risk,,Entire face,Bobok. et al,* specific to those who are 35+,
stress,enlarged_pores,increases_risk,,Entire face,Bobok. et al,,
stress,eye_circles,increases_risk,,Eye,Bobok. et al,,
stress,hyperpigmentation,increases_risk,,Entire face,Bobok. et al,,
stress,pronounced_nasolabial,increases_risk,,Nose,Bobok. et al,* specific to those who are 35+,
uv_exposure,coarse_dry_skin,increases_risk,,Entire face,Swift et al.,,
uv_exposure,jowls,increases_risk,,"Lower cheek, jaw",Flament et al,,
uv_exposure,spider_veins,increases_risk,,Cheek,Swift et al.,,
uv_exposure,sunspots,increases_risk,,"Cheekbones, nose, forehead",Hussein et al.,*not even; driving,
uv_exposure,uneven_complexion,increases_risk,,Entire face,Swift et al.,,
women,lower_face_sagging,more_prone_to,,,Flament et al.,,
women,marionette_lines_18_40,more_prone_to,,,Flament et al.,,
